n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower
30 3 1 1 0 ras True True 0.02887 2.074 0.0 194.88 194.88 194.88
30 3 1 1 1 ras True True 0.02509 5.367 0.04 216.18 216.18 216.097
30 3 1 2 0 ras True True 0.35066 3.013 0.0 194.88 194.88 194.88
30 3 1 2 1 ras True True 1.62543 220.149 0.0 216.18 216.18 216.18
30 3 1 3 0 ras True True 0.28329 3.563 0.0 194.88 194.88 194.88
30 3 1 3 1 ras True True 2.63378 38.977 0.0 216.18 216.18 216.18
30 3 2 1 0 ras True True 0.02968 2.289 0.0 256.14 256.14 256.14
30 3 2 1 1 ras True True 0.02641 6.859 0.0 263.34 263.34 263.34
30 3 2 2 0 ras True True 0.35237 17.07 0.37 256.14 256.14 255.18
30 3 2 2 1 ras True True 1.66157 169.003 0.0 263.34 263.34 263.34
30 3 2 3 0 ras True True 0.27695 6.949 0.0 256.14 256.14 256.14
30 3 2 3 1 ras True True 2.69007 29.486 0.0 263.34 263.34 263.34
30 3 3 1 0 ras True True 0.02825 1.392 0.0 218.56 218.56 218.56
30 3 3 1 1 ras True True 0.02512 11.726 0.08 237.66 237.66 237.458
30 3 3 2 0 ras True True 0.33982 18.982 0.0 218.56 218.56 218.56
30 3 3 2 1 ras True False 1.70257 606.662 17.3 237.66 237.66 196.535
30 3 3 3 0 ras True True 0.27147 3.972 0.0 218.56 218.56 218.56
30 3 3 3 1 ras True True 2.65022 26.687 0.0 237.66 237.66 237.66
30 3 4 1 0 ras True True 0.02818 2.676 0.0 242.79 242.79 242.79
30 3 4 1 1 ras True True 0.02694 7.222 0.09 242.79 242.79 242.566
30 3 4 2 0 ras True True 0.34211 21.716 0.4 242.79 242.79 241.826
30 3 4 2 1 ras True True 1.55828 221.746 0.23 242.79 242.79 242.222
30 3 4 3 0 ras True True 0.27485 7.251 0.0 242.79 242.79 242.79
30 3 4 3 1 ras True True 2.71301 29.116 0.34 243.61 243.61 242.79
30 3 5 1 0 ras True True 0.02898 2.094 0.0 257.28 257.28 257.28
