n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower
20 2 1 1 0 ras True True 0.02034 0.732 0.0 206.23 206.23 206.23
20 2 1 1 1 ras True True 0.01866 1.291 0.0 206.23 206.23 206.23
20 2 1 2 0 ras True True 0.08744 1.764 0.0 206.23 206.23 206.23
20 2 1 2 1 ras True True 0.3034 6.304 0.0 206.23 206.23 206.23
20 2 1 3 0 ras True True 0.07566 0.944 0.0 206.23 206.23 206.23
20 2 1 3 1 ras True True 0.49049 3.525 0.0 206.23 206.23 206.23
20 2 2 1 0 ras True True 0.02068 0.779 0.0 214.95 214.95 214.95
20 2 2 1 1 ras True True 0.01851 1.113 0.0 214.95 214.95 214.95
20 2 2 2 0 ras True True 0.08594 2.245 0.0 214.95 214.95 214.95
20 2 2 2 1 ras True True 0.29534 17.314 0.0 214.95 214.95 214.95
20 2 2 3 0 ras True True 0.07249 0.96 0.0 214.95 214.95 214.95
20 2 2 3 1 ras True True 0.46655 6.052 0.3 215.6 215.6 214.95
20 2 3 1 0 ras True True 0.02169 0.629 0.0 230.78 230.78 230.78
20 2 3 1 1 ras True True 0.01839 1.889 0.0 230.78 230.78 230.78
20 2 3 2 0 ras True True 0.08434 2.255 0.17 230.78 230.78 230.39
20 2 3 2 1 ras True True 0.2986 14.544 0.0 230.78 230.78 230.78
20 2 3 3 0 ras True True 0.07378 0.706 0.0 230.78 230.78 230.78
20 2 3 3 1 ras True True 0.48717 6.297 0.11 231.03 231.03 230.78
20 2 4 1 0 ras True True 0.01944 0.679 0.0 221.72 221.72 221.72
20 2 4 1 1 ras True True 0.01963 1.01 0.0 221.72 221.72 221.72
20 2 4 2 0 ras True True 0.08587 2.104 0.29 221.72 221.72 221.076
20 2 4 2 1 ras True True 0.3115 15.474 0.0 221.72 221.72 221.72
20 2 4 3 0 ras True True 0.0751 0.962 0.0 221.72 221.72 221.72
20 2 4 3 1 ras True True 0.46878 7.505 0.09 221.92 221.92 221.72
20 2 5 1 0 ras True True 0.02027 0.736 0.0 201.88 201.88 201.88
20 2 5 1 1 ras True True 0.01935 1.779 0.0 201.88 201.88 201.88
20 2 5 2 0 ras True True 0.08187 0.515 0.0 201.88 201.88 201.88
20 2 5 2 1 ras True True 0.32045 12.823 0.0 201.88 201.88 201.88
20 2 5 3 0 ras True True 0.07597 0.871 0.0 201.88 201.88 201.88
20 2 5 3 1 ras True True 0.4766 8.581 0.0 201.88 201.88 201.88
20 5 1 1 0 ras True True 0.01984 0.332 0.0 139.98 139.98 139.98
20 5 1 1 1 ras True True 0.01803 1.432 0.18 171.42 171.42 171.103
20 5 1 2 0 ras True True 0.08477 2.584 0.7 139.98 139.98 138.994
20 5 1 2 1 ras True True 0.29851 31.356 0.0 171.41 171.41 171.41
20 5 1 3 0 ras True True 0.07633 0.646 0.54 139.98 139.98 139.22
20 5 1 3 1 ras True True 0.51315 6.968 0.0 171.41 171.41 171.41
20 5 2 1 0 ras True True 0.01968 0.986 0.14 116.52 116.52 116.36
20 5 2 1 1 ras True True 0.0188 2.871 0.0 153.17 153.17 153.17
20 5 2 2 0 ras True True 0.08653 0.865 0.0 116.36 116.36 116.36
20 5 2 2 1 ras True True 0.30336 59.991 0.25 153.17 153.17 152.78
20 5 2 3 0 ras True True 0.07425 0.47 0.0 116.36 116.36 116.36
20 5 2 3 1 ras True True 0.50906 8.575 0.25 153.17 153.17 152.78
20 5 3 1 0 ras True True 0.01932 1.018 0.39 129.45 129.45 128.95
20 5 3 1 1 ras True True 0.0209 1.873 0.0 215.64 215.64 215.64
20 5 3 2 0 ras True True 0.08561 1.089 0.49 129.45 129.45 128.82
20 5 3 2 1 ras True True 0.30425 79.161 0.0 215.64 215.64 215.64
20 5 3 3 0 ras True True 0.07726 0.527 0.0 129.45 129.45 129.45
20 5 3 3 1 ras True True 0.47817 4.165 0.12 215.89 215.89 215.64
20 5 4 1 0 ras True True 0.02193 1.151 0.0 124.2 124.2 124.2
20 5 4 1 1 ras True True 0.01801 2.499 0.51 179.4 179.4 178.483
20 5 4 2 0 ras True True 0.08541 0.718 0.0 124.2 124.2 124.2
20 5 4 2 1 ras True True 0.31149 40.245 0.0 178.76 178.76 178.76
20 5 4 3 0 ras True True 0.07731 0.597 0.0 124.2 124.2 124.2
20 5 4 3 1 ras True True 0.48462 8.919 0.51 179.68 179.68 178.76
20 5 5 1 0 ras True True 0.01998 1.145 0.0 123.91 123.91 123.91
20 5 5 1 1 ras True True 0.01835 1.953 0.0 135.79 135.79 135.79
20 5 5 2 0 ras True True 0.08722 1.051 0.72 123.91 123.91 123.02
20 5 5 2 1 ras True True 0.30324 35.787 0.0 135.79 135.79 135.79
20 5 5 3 0 ras True True 0.07569 0.508 0.0 123.91 123.91 123.91
20 5 5 3 1 ras True True 0.4903 5.343 0.0 135.79 135.79 135.79
20 6 1 1 0 ras True True 0.02032 0.98 0.0 111.04 111.04 111.04
20 6 1 1 1 ras True True 0.01883 2.293 0.0 143.89 143.89 143.89
20 6 1 2 0 ras True True 0.08699 2.118 0.24 111.04 111.04 110.775
20 6 1 2 1 ras True True 0.29945 21.12 0.47 143.89 143.89 143.21
20 6 1 3 0 ras True True 0.07433 0.562 0.0 111.04 111.04 111.04
20 6 1 3 1 ras True True 0.48445 8.747 0.29 144.31 144.31 143.89
20 6 2 1 0 ras True True 0.01896 1.266 0.42 121.21 121.21 120.7
20 6 2 1 1 ras True True 0.02153 5.082 0.0 174.04 174.04 174.04
20 6 2 2 0 ras True True 0.08584 1.516 0.75 120.7 120.7 119.79
20 6 2 2 1 ras True True 0.3024 145.672 0.56 174.04 174.04 173.06
20 6 2 3 0 ras True True 0.07361 0.564 0.0 120.7 120.7 120.7
20 6 2 3 1 ras True True 0.47291 6.403 0.48 174.88 174.88 174.04
20 6 3 1 0 ras True True 0.0199 1.131 0.0 84.86 84.86 84.86
20 6 3 1 1 ras True True 0.01883 2.354 0.5 142.28 142.28 141.562
20 6 3 2 0 ras True True 0.08584 0.336 0.0 84.86 84.86 84.86
20 6 3 2 1 ras True True 0.30227 139.712 0.66 142.28 142.28 141.345
20 6 3 3 0 ras True True 0.07402 0.441 0.0 84.86 84.86 84.86
20 6 3 3 1 ras True True 0.47773 6.125 0.0 142.28 142.28 142.28
20 6 4 1 0 ras True True 0.01969 1.266 0.0 121.0 121.0 121.0
20 6 4 1 1 ras True True 0.01802 2.519 0.0 154.55 154.55 154.55
20 6 4 2 0 ras True True 0.0884 3.369 0.48 121.0 121.0 120.42
20 6 4 2 1 ras True True 0.3004 51.464 0.27 154.55 154.55 154.13
20 6 4 3 0 ras True True 0.07587 0.639 0.0 121.0 121.0 121.0
20 6 4 3 1 ras True True 0.48903 8.444 0.45 155.25 155.25 154.55
20 6 5 1 0 ras True True 0.02137 1.359 0.0 123.69 123.69 123.69
20 6 5 1 1 ras True True 0.0186 1.812 0.0 150.47 150.47 150.47
20 6 5 2 0 ras True True 0.0848 2.94 0.75 123.69 123.69 122.763
20 6 5 2 1 ras True True 0.30129 48.183 0.0 150.47 150.47 150.47
20 6 5 3 0 ras True True 0.07311 0.512 0.0 123.69 123.69 123.69
20 6 5 3 1 ras True True 0.47643 6.056 0.0 150.47 150.47 150.47
