n p i v c erreur statut etat temps_creation temps gap obj obj_upper obj_lower
10 1 1 1 0 ras True True 0.01613 0.039 0.0 199.28 199.28 199.28
10 1 1 1 1 ras True True 0.00433 0.023 0.0 199.28 199.28 199.28
10 1 1 2 0 ras True True 0.02092 0.045 0.0 199.28 199.28 199.28
10 1 1 2 1 ras True True 0.03331 0.119 0.0 199.28 199.28 199.28
10 1 1 3 0 ras True True 0.01836 0.043 0.0 199.28 199.28 199.28
10 1 1 3 1 ras True True 0.04355 0.185 0.0 199.28 199.28 199.28
10 1 2 1 0 ras True True 0.01422 0.026 0.0 197.57 197.57 197.57
10 1 2 1 1 ras True True 0.00415 0.036 0.0 197.57 197.57 197.57
10 1 2 2 0 ras True True 0.01948 0.042 0.0 197.57 197.57 197.57
10 1 2 2 1 ras True True 0.03187 0.114 0.0 197.57 197.57 197.57
10 1 2 3 0 ras True True 0.01728 0.04 0.0 197.57 197.57 197.57
10 1 2 3 1 ras True True 0.04514 0.321 0.26 197.57 197.57 197.06
10 1 3 1 0 ras True True 0.01612 0.027 0.0 179.4 179.4 179.4
10 1 3 1 1 ras True True 0.00489 0.034 0.0 179.4 179.4 179.4
10 1 3 2 0 ras True True 0.01839 0.055 0.0 179.4 179.4 179.4
10 1 3 2 1 ras True True 0.03223 0.115 0.0 179.4 179.4 179.4
10 1 3 3 0 ras True True 0.01804 0.043 0.0 179.4 179.4 179.4
10 1 3 3 1 ras True True 0.04067 0.168 0.0 179.4 179.4 179.4
10 1 4 1 0 ras True True 0.01392 0.025 0.0 177.37 177.37 177.37
10 1 4 1 1 ras True True 0.00414 0.022 0.0 177.37 177.37 177.37
10 1 4 2 0 ras True True 0.01987 0.045 0.0 177.37 177.37 177.37
10 1 4 2 1 ras True True 0.03137 0.122 0.0 177.37 177.37 177.37
10 1 4 3 0 ras True True 0.01828 0.043 0.0 177.37 177.37 177.37
10 1 4 3 1 ras True True 0.04211 0.131 0.0 177.37 177.37 177.37
10 1 5 1 0 ras True True 0.01504 0.025 0.0 186.9 186.9 186.9
10 1 5 1 1 ras True True 0.00504 0.025 0.0 186.9 186.9 186.9
10 1 5 2 0 ras True True 0.01908 0.042 0.0 186.9 186.9 186.9
10 1 5 2 1 ras True True 0.03185 0.117 0.0 186.9 186.9 186.9
10 1 5 3 0 ras True True 0.01798 0.042 0.0 186.9 186.9 186.9
10 1 5 3 1 ras True True 0.04369 0.144 0.0 186.9 186.9 186.9
10 2 1 1 0 ras True True 0.01489 0.044 0.0 110.42 110.42 110.42
10 2 1 1 1 ras True True 0.00411 0.163 0.75 110.42 110.42 109.588
10 2 1 2 0 ras True True 0.01896 0.041 0.0 110.42 110.42 110.42
10 2 1 2 1 ras True True 0.03237 0.122 0.0 110.42 110.42 110.42
10 2 1 3 0 ras True True 0.02016 0.058 0.0 110.42 110.42 110.42
10 2 1 3 1 ras True True 0.0414 0.299 0.73 111.23 111.23 110.42
10 2 2 1 0 ras True True 0.01526 0.153 0.0 171.23 171.23 171.23
10 2 2 1 1 ras True True 0.00452 0.202 0.0 171.23 171.23 171.23
10 2 2 2 0 ras True True 0.02063 0.046 0.0 171.23 171.23 171.23
10 2 2 2 1 ras True True 0.03122 0.564 0.44 171.23 171.23 170.47
10 2 2 3 0 ras True True 0.01707 0.05 0.0 171.23 171.23 171.23
10 2 2 3 1 ras True True 0.04053 0.624 0.0 171.23 171.23 171.23
10 2 3 1 0 ras True True 0.01382 0.137 0.0 148.0 148.0 148.0
10 2 3 1 1 ras True True 0.0044 0.051 0.0 148.0 148.0 148.0
10 2 3 2 0 ras True True 0.02029 0.058 0.0 148.0 148.0 148.0
10 2 3 2 1 ras True True 0.03212 0.241 0.0 148.0 148.0 148.0
10 2 3 3 0 ras True True 0.01832 0.056 0.0 148.0 148.0 148.0
10 2 3 3 1 ras True True 0.03982 0.541 0.0 148.0 148.0 148.0
10 2 4 1 0 ras True True 0.01392 0.142 0.0 169.46 169.46 169.46
10 2 4 1 1 ras True True 0.00411 0.151 0.0 169.46 169.46 169.46
10 2 4 2 0 ras True True 0.02007 0.061 0.0 169.46 169.46 169.46
10 2 4 2 1 ras True True 0.03227 0.688 0.49 170.3 170.3 169.46
10 2 4 3 0 ras True True 0.02208 0.055 0.0 169.46 169.46 169.46
10 2 4 3 1 ras True True 0.04389 0.463 0.0 169.46 169.46 169.46
10 2 5 1 0 ras True True 0.01525 0.135 0.0 146.51 146.51 146.51
10 2 5 1 1 ras True True 0.00538 0.197 0.0 146.51 146.51 146.51
10 2 5 2 0 ras True True 0.0205 0.056 0.0 146.51 146.51 146.51
10 2 5 2 1 ras True True 0.03123 0.911 0.0 146.51 146.51 146.51
10 2 5 3 0 ras True True 0.0196 0.059 0.0 146.51 146.51 146.51
10 2 5 3 1 ras True True 0.04 0.425 0.0 146.51 146.51 146.51
10 3 1 1 0 ras True True 0.01586 0.045 0.0 153.39 153.39 153.39
10 3 1 1 1 ras True True 0.00772 0.168 0.0 153.39 153.39 153.39
10 3 1 2 0 ras True True 0.02019 0.174 0.0 153.39 153.39 153.39
10 3 1 2 1 ras True True 0.03464 0.304 0.0 153.39 153.39 153.39
10 3 1 3 0 ras True True 0.01976 0.076 0.0 153.39 153.39 153.39
10 3 1 3 1 ras True True 0.04219 0.591 0.06 153.48 153.48 153.39
10 3 2 1 0 ras True True 0.01429 0.156 0.0 91.08 91.08 91.08
10 3 2 1 1 ras True True 0.0047 0.177 0.0 162.27 162.27 162.27
10 3 2 2 0 ras True True 0.02007 0.042 0.0 91.08 91.08 91.08
10 3 2 2 1 ras True True 0.03203 0.656 0.59 162.27 162.27 161.31
10 3 2 3 0 ras True True 0.01797 0.05 0.0 91.08 91.08 91.08
10 3 2 3 1 ras True True 0.04384 0.375 0.0 162.27 162.27 162.27
10 3 3 1 0 ras True True 0.01778 0.2 0.0 116.87 116.87 116.87
10 3 3 1 1 ras True True 0.00409 0.118 0.0 131.21 131.21 131.21
